Page Id	URL	Name	Subject	Section Header	Section Index	PageViews		Name Override	Subject Re-mapping	Section Re-mapping	Omit	miles_work
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	trumpeters and flugelhornists	17	22325			other			
page-1349	Jazz_(TV_series)	Jazz (TV series)	works	compilation albums	27	22206			other			
page-1349	Jazz_(TV_series)	Jazz (TV series)	works	episodes	12	22206			other			
page-1349	Jazz_(TV_series)	Jazz (TV series)	works	first paragraph	0	22206			other			
page-1349	Jazz_(TV_series)	Jazz (TV series)	works	overview	8	22206			other			
page-1618	List_of_child_music_prodigies	List of child music prodigies	musicians	nonclassical genres	29	22051			other			
page-2110	Oris_(company)	Oris (company)	companies	celebrity endorsements	25	21075			other			
page-1640	List_of_Italian-American_entertainers	List of Italian-American entertainers	people	musicians	16	20903			other			
page-1628	List_of_film_score_composers	List of film score composers	musicians	d	9	20671			other			
page-1988	Music_of_the_United_Kingdom_(1970s)	Music of the United Kingdom (1970s)	events	jazz	60	20376			other			
page-1064	Gatefold	Gatefold	works	notable gatefold releases	14	20085			other			
page-1356	Jazz_drumming	Jazz drumming	musicians	modern jazz drumming	55	19366			other			
page-1655	List_of_musicians_of_the_1950s	List of musicians of the 1950s	events	musicians	11	19252			other			
page-1666	List_of_people_in_Playboy_1960%E2%80%9369	List of people in Playboy 1960–69	events	1962	12	19079			other			
page-786	Down_Beat	Down Beat	works	awards	14	17947			other			
page-1637	List_of_Hammond_organ_players	List of Hammond organ players	musicians	d	14	17498			other			
page-1367	Jazz_piano	Jazz piano	musicians	technique	19	17394			other			
page-1606	List_of_1940s_jazz_standards	List of 1940s jazz standards	events	1947	26	17165			other			
page-1165	Harmonization	Harmonization	genres	reharmonization	18	16727			other			
page-1165	Harmonization	Harmonization	genres	reharmonization	35	16727			other			
page-1668	List_of_people_on_the_cover_of_Rolling_Stone	List of people on the cover of Rolling Stone	musicians	individuals	14	16055			other			
page-2302	Quintet	Quintet	musicians	notable quintets	12	15664			other			
