Page Id	URL	Name	EntityType	PageViews	subject	miles_work
1123	Grammy_Award_for_Best_Improvised_Jazz_Solo	Grammy Award for Best Improvised Jazz Solo	Group100031264	3082	events	
705	David_Sanborn	David Sanborn	musical artist	49811	musicians	
2109	Orchestra_hit	Orchestra hit	Instrument103574816	5829	other	
1126	Grammy_Award_for_Best_Large_Jazz_Ensemble_Album	Grammy Award for Best Large Jazz Ensemble Album	Group100031264	5339	events	
2925	The_Mars_Volta	The Mars Volta	Band	216155	musicians	
798	Dreams_Come_True_(band)	Dreams Come True (band)	Band	13195	musicians	
774	Donald_Fagen	Donald Fagen	musical artist	131864	musicians	
767	Don_Cheadle	Don Cheadle	agent	483139	people	
1371	Jazz_royalty	Jazz royalty	Nicknames	9806	other	
2374	Robert_Christgau	Robert Christgau	agent	115458	people	
456	Brian_Blade	Brian Blade	musical artist	21995	musicians	
2410	Roy_Haynes	Roy Haynes	musical artist	19978	musicians	
2164	Percy_Heath	Percy Heath	musical artist	7803	musicians	
2568	Spirit_of_Eden	Spirit of Eden	album	29798	recording	
2151	Paul_Chambers	Paul Chambers	musical artist	30481	musicians	
154	Ahmad_Jamal	Ahmad Jamal	musical artist	49375	musicians	
1127	Grammy_Award_for_Best_Music_Film	Grammy Award for Best Music Film	award	8463	events	
163	Al_Haig	Al Haig	musical artist	5266	musicians	
1156	Hal_Russell	Hal Russell	musical artist	1569	musicians	
686	Dave_Holland	Dave Holland	musical artist	23147	musicians	
2122	Ottmar_Liebert	Ottmar Liebert	musical artist	18956	musicians	
112	A_Bronx_Tale	A Bronx Tale	Q11424	163287	films	
422	Bob_Murphy_(musician)	Bob Murphy (musician)	agent	1836	musicians	
1129	Grammy_Award_for_Best_R%26B_Instrumental_Performance	Grammy Award for Best R&B Instrumental Performance	AwardsDisestablishedIn1993	2079	events	
1936	Miss_Kittin	Miss Kittin	musical artist	16803	musicians	
874	Eric_Ericson	Eric Ericson	agent	8620	musicians	
2791	Terry_Southern	Terry Southern	agent	43458	musicians	
241	Arthur_Russell_(musician)	Arthur Russell (musician)	musical artist	43932	musicians	
1030	Frank_T%C3%A9not	Frank Ténot	agent	1119	people	
2350	Return_to_Forever	Return to Forever	Band	45226	musicians	
3110	U._Srinivas	U. Srinivas	musical artist	22669	musicians	
